Content,Date Published,Comments added,Shares,LvsD (%),Dislikes,Likes,Subs -,Subs +,Returning viewers,New viewers,Avg views/viewer,Unique viewers,APV (%),AVD (HMMSS),AVD (s),Views,WT (hrs),Subscribers,IMP,CTR (%)
MCAT Study 30,5/26/2024,2,1,100,0,3,1,1,72,284,1.0449,356,1.45,0:00:55,55,372,5.7073,0,12963,2.29
MCAT Study 31,5/26/2024,1,0,100,0,8,0,1,47,322,1.0596,369,1.87,0:01:02,62,391,6.7609,1,13767,2.01
MCAT Study 32,5/27/2024,1,0,100,0,5,0,1,75,253,1.0671,328,1.57,0:01:04,64,350,6.2539,1,13062,2
MCAT Study 33,5/27/2024,3,1,100,0,8,1,3,91,251,1.076,342,1.57,0:01:04,64,368,6.6084,2,9479,2.92
MCAT Study 34,5/27/2024,2,0,0,0,0,0,0,70,193,1.0608,263,1.62,0:01:04,64,279,4.9812,0,8716,2.37
MCAT Study 35,5/27/2024,2,0,100,0,8,0,3,106,461,1.0582,567,0.96,0:00:52,52,600,8.7968,3,19134,2.51
MCAT Study 36,5/29/2024,0,0,0,0,0,0,0,15,0,1.0667,15,6.75,0:04:31,271,16,1.2059,0,1095,1.19
MCAT Study 37,5/29/2024,0,0,100,0,1,0,1,9,0,1,9,1.85,0:01:09,69,9,0.1743,1,1078,0.65
MCAT Study 38,5/29/2024,1,0,100,0,2,0,0,17,2,1.1579,19,0.71,0:00:37,37,22,0.2263,0,1129,1.33
MCAT Study 39,5/29/2024,1,0,0,0,0,0,0,22,3,1.2,25,4.84,0:06:04,364,30,3.0405,0,1174,1.45
MCAT Study 40,5/29/2024,0,0,0,0,0,0,0,19,2,1,21,4.21,0:01:58,118,21,0.6932,0,1221,1.31
MCAT Study 41,5/29/2024,1,0,100,0,2,0,0,58,3,1.1639,61,3.94,0:01:48,108,71,2.1463,0,1373,3.57
MCAT Study 42,5/30/2024,1,0,100,0,1,0,0,23,1,1.0417,24,6.83,0:06:58,418,25,2.9092,0,1306,1
MCAT Study 43,5/30/2024,1,0,0,0,0,0,0,19,2,1,21,0.71,0:00:45,45,21,0.2656,0,1296,1.08
MCAT Study 44,5/30/2024,0,0,100,0,1,0,0,26,3,1.1034,29,3.82,0:01:14,74,32,0.6607,0,1392,1.58
MCAT Study 45,5/30/2024,1,0,100,0,3,0,0,43,4,1.2128,47,3.06,0:02:10,130,57,2.0691,0,1512,2.71
MCAT Study 46,5/31/2024,0,0,100,0,2,0,0,30,4,1.0588,34,1.21,0:00:58,58,36,0.5825,0,1448,1.8
MCAT Study 47,5/31/2024,0,0,100,0,1,0,0,14,0,1.1429,14,0.64,0:00:24,24,16,0.1068,0,1423,0.84
MCAT Study 48,5/31/2024,2,0,100,0,2,0,0,34,2,1.25,36,0.93,0:01:01,61,45,0.7703,0,1578,1.96
MCAT Study 49,5/31/2024,5,0,100,0,8,0,6,117,29,1.2603,146,1.73,0:01:56,116,184,5.9529,6,2826,4.39
MCAT Study 50,6/1/2024,2,0,100,0,1,0,0,67,2,1.1739,69,2.63,0:01:55,115,81,2.6051,0,1912,3.19
MCAT Study 51,6/1/2024,1,0,100,0,2,0,1,95,10,1.1714,105,2.65,0:01:53,113,123,3.8761,1,2191,4.34
MCAT Study 52,6/2/2024,2,1,100,0,14,1,3,117,384,1.1218,501,2.1,0:01:16,76,562,11.867,2,13014,3.11
MCAT Study 53,6/2/2024,3,0,100,0,7,0,2,105,20,1.272,125,3.68,0:02:10,130,159,5.7795,2,3413,3.14
MCAT Study 54,6/2/2024,4,1,100,0,10,0,4,143,84,1.141,227,6.14,0:01:46,106,259,7.6334,4,6650,2.71
MCAT Study 55,6/4/2024,16,0,93.55,2,29,0,10,296,106,1.3781,402,1.54,0:02:24,144,554,22.2973,10,8690,4.41
MCAT Study 56,6/4/2024,5,0,100,0,8,0,2,167,61,1.1316,228,2.33,0:02:36,156,258,11.248,2,5282,3.48
MCAT Study 57,6/4/2024,5,0,100,0,2,0,0,85,13,1.3061,98,2.27,0:01:51,111,128,3.9727,0,2370,3.12
MCAT Study 58,6/4/2024,8,0,100,0,25,0,5,237,224,1.1822,461,2.23,0:02:14,134,545,20.3679,5,10898,3.69
MCAT Study 59,6/5/2024,1,0,100,0,4,0,1,67,3,1.1857,70,1.49,0:00:58,58,83,1.3495,1,2257,2.48
MCAT Study 60,6/5/2024,0,0,100,0,2,0,0,49,3,1.0577,52,4.79,0:02:57,177,55,2.7152,0,1834,2.13
MCAT Study 61,6/5/2024,3,0,100,0,4,1,0,90,26,1.1638,116,1.57,0:01:30,90,135,3.4001,-1,3510,2.76
MCAT Study 62,6/6/2024,0,0,100,0,1,0,0,66,3,1.1449,69,2.19,0:02:16,136,79,2.9955,0,2022,2.72
MCAT Study 63,6/6/2024,3,0,100,0,2,0,0,119,8,1.1654,127,2.91,0:01:40,100,148,4.1373,0,2950,3.66
MCAT Study 64,6/7/2024,9,0,92.31,1,12,1,6,213,57,1.2889,270,2.02,0:02:00,120,348,11.6918,5,4803,4.91
MCAT Study 65,6/8/2024,0,0,100,0,5,0,0,172,61,1.1116,233,2.26,0:01:16,76,259,5.5264,0,4416,4.46
MCAT Study 66,6/8/2024,2,0,100,0,2,0,0,117,36,1.1765,153,1.49,0:01:09,69,180,3.4699,0,3682,3.83
MCAT Study 67,6/8/2024,6,0,92.86,1,13,1,3,245,137,1.2356,382,2.89,0:01:40,100,472,13.1548,2,8304,3.88
MCAT Study 68,6/10/2024,3,0,100,0,8,1,2,247,53,1.2233,300,1.2,0:01:51,111,367,11.3497,1,5183,5.23
MCAT Study 69,6/12/2024,5,1,100,0,16,0,2,299,295,1.17,594,1.35,0:01:47,107,695,20.7617,2,10576,4.48
MCAT Study 70,6/15/2024,2,1,100,0,15,0,11,363,568,1.1353,931,1.37,0:01:26,86,1057,25.4061,11,15503,4.92
MCAT Study 71,6/18/2024,8,0,100,0,6,0,2,266,205,1.1529,471,1.94,0:01:38,98,543,14.8298,2,6769,5.75
MCAT Study 72,6/21/2024,0,0,100,0,6,0,0,67,22,1.0899,89,2.03,0:01:11,71,97,1.9268,0,1852,3.78
MCAT Study 73,6/21/2024,2,1,100,0,7,0,2,137,102,1.0628,239,2.68,0:01:48,108,254,7.6813,2,4358,4.2
MCAT Study 74,6/22/2024,0,0,100,0,3,0,1,53,32,1.0353,85,1.3,0:01:43,103,88,2.524,1,1686,3.68
MCAT Study 75,6/22/2024,1,0,100,0,2,0,1,122,25,1.2177,147,1.11,0:01:06,66,179,3.3138,1,1909,6.34
MCAT Study 76,6/22/2024,0,0,0,0,0,0,2,71,34,1.1714,105,1.37,0:01:00,60,123,2.066,2,2115,4.63
MCAT Study 77,6/22/2024,0,0,100,0,1,0,0,62,2,1.1563,64,0.97,0:00:47,47,74,0.9748,0,1194,4.52
MCAT Study 78,6/23/2024,3,0,100,0,5,0,1,91,27,1.178,118,2.92,0:01:46,106,139,4.0959,1,2741,3.54
MCAT Study 79,6/24/2024,1,2,100,0,3,0,1,169,49,1.2018,218,1.77,0:01:50,110,262,8.0671,1,2643,6.21
MCAT Study 80,7/2/2024,0,0,100,0,2,0,0,81,31,1.1339,112,0.88,0:00:41,41,127,1.4724,0,2228,4.22
MCAT Study 81,7/3/2024,2,0,100,0,6,0,2,112,71,1.1366,183,0.84,0:01:33,93,208,5.4192,2,3521,4.43
MCAT Study 82,7/4/2024,0,0,0,0,0,0,0,35,25,1.1,60,0.92,0:00:44,44,66,0.8106,0,1855,2.53
MCAT Study 83,7/4/2024,3,0,100,0,2,1,0,60,33,1.2043,93,16.16,0:16:12,972,112,30.257,-1,2643,2.88
MCAT Study 84,7/4/2024,0,1,100,0,1,0,0,72,2,1.1892,74,3.51,0:02:18,138,88,3.3781,0,1286,4.82
MCAT Study 85,7/6/2024,0,0,100,0,2,0,0,32,20,1.1538,52,1,0:01:05,65,60,1.0922,0,2032,2.26
MCAT Study 86,7/6/2024,0,0,100,0,3,0,1,39,24,1.1429,63,0.76,0:00:52,52,72,1.0437,1,2010,2.54
MCAT Study 87,7/6/2024,0,0,100,0,3,0,0,77,3,1.15,80,3.78,0:03:19,199,92,5.0936,0,1202,5.41
MCAT Study 88,7/7/2024,1,0,100,0,2,0,0,63,47,1.1091,110,1.7,0:00:49,49,122,1.6688,0,2641,3.07
MCAT Study 89,7/7/2024,0,0,100,0,2,0,0,110,28,1.2464,138,0.94,0:01:11,71,172,3.4143,0,2350,5.4
MCAT Study 90,7/9/2024,0,0,100,0,1,0,0,36,29,1.1846,65,1.39,0:00:52,52,77,1.1335,0,2386,1.89
MCAT Study 91,7/9/2024,0,0,0,0,0,0,0,40,8,1.0833,48,0.91,0:01:52,112,52,1.623,0,1559,2.31
MCAT Study 92,7/9/2024,0,0,100,0,3,0,0,101,20,1.1818,121,1.38,0:01:54,114,143,4.5421,0,1992,5.22
MCAT Study 93,7/11/2024,2,0,100,0,3,0,2,127,43,1.1941,170,1.73,0:01:30,90,203,5.0965,2,2629,5.52
MCAT Study 94,7/14/2024,0,0,0,0,0,0,0,63,76,1.0576,139,2.42,0:01:50,110,147,4.5005,0,4178,2.51
MCAT Study 95,7/15/2024,0,0,0,0,0,0,0,29,21,1.06,50,2.25,0:03:48,228,53,3.3665,0,2119,1.75
MCAT Study 96,7/15/2024,1,0,100,0,9,0,2,81,228,1.1003,309,1.7,0:01:31,91,340,8.6256,2,7878,3.02
MCAT Study 97,7/15/2024,1,0,0,0,0,0,3,74,126,1.09,200,1.2,0:00:53,53,218,3.2564,3,5772,2.79
MCAT Study 98,7/16/2024,3,1,83.33,1,5,0,4,103,195,1.1443,298,1.22,0:02:02,122,341,11.591,4,6691,3.42
MCAT Study 99,7/16/2024,0,0,100,0,1,1,3,78,29,1.1495,107,1.84,0:01:37,97,123,3.3358,2,2133,4.31
MCAT Study 100,7/17/2024,2,0,80,1,4,0,0,82,130,1.1132,212,3.41,0:02:59,179,236,11.782,0,5885,2.75
MCAT Study 101,7/17/2024,2,1,100,0,1,0,0,75,13,1.2045,88,1.97,0:02:19,139,106,4.1004,0,2105,3.23
MCAT Study 102,7/18/2024,0,0,0,0,0,0,0,33,1,1.1765,34,2.98,0:02:40,160,40,1.7888,0,1274,2.35
MCAT Study 103,7/18/2024,1,0,100,0,5,0,1,64,82,1.1027,146,1.48,0:01:53,113,161,5.0573,1,4500,2.71
MCAT Study 104,7/18/2024,1,0,100,0,1,0,0,114,31,1.1586,145,1.86,0:02:13,133,168,6.2476,0,3730,3.32
MCAT Study 105,7/18/2024,2,1,100,0,3,1,4,235,130,1.2027,365,2.17,0:01:44,104,439,12.7032,3,5234,5.9
MCAT Study 106,7/24/2024,10,0,100,0,21,0,9,369,212,1.1325,581,3.72,0:02:37,157,658,28.7797,9,10293,4.56
MCAT Study 107,7/25/2024,1,0,100,0,4,0,1,114,125,1.0795,239,0.33,0:00:47,47,258,3.435,1,5321,3.44
MCAT Study 108,7/25/2024,2,0,100,0,4,0,0,116,130,1.1423,246,1.28,0:01:44,104,281,8.175,0,6083,3.4
MCAT Study 109,7/26/2024,0,0,100,0,4,0,0,98,69,1.1497,167,2.85,0:02:08,128,192,6.8589,0,5004,2.78
MCAT Study 110,7/27/2024,2,1,80,1,4,0,0,118,180,1.1812,298,0.62,0:02:22,142,352,13.9542,0,7440,3.36
MCAT Study 111,7/29/2024,0,1,0,0,0,0,1,52,17,1.1304,69,0.67,0:00:53,53,78,1.1496,1,2397,2.13
MCAT Study 112,7/29/2024,1,1,100,0,5,0,1,86,133,1.0548,219,2.33,0:01:10,70,231,4.5308,1,6063,2.82
MCAT Study 113,7/29/2024,2,0,100,0,7,0,2,161,158,1.1034,319,0.51,0:01:09,69,352,6.7961,2,7154,3.61
MCAT Study 114,7/30/2024,2,3,100,0,6,0,2,174,368,1.0793,542,1.02,0:01:15,75,585,12.2419,2,11913,3.61
MCAT Study 115,7/31/2024,7,0,100,0,5,0,5,177,277,1.1057,454,0.9,0:01:15,75,502,10.4714,5,11181,3.22
MCAT Study 116,8/2/2024,0,0,100,0,1,0,0,60,60,1.1917,120,0.58,0:01:14,74,143,2.9788,0,3845,2.5
MCAT Study 117,8/2/2024,1,1,100,0,2,0,0,108,33,1.156,141,2.56,0:00:46,46,163,2.0857,0,2834,3.85
MCAT Study 118,8/2/2024,3,0,100,0,4,0,1,85,1,1.2093,86,2.2,0:01:19,79,104,2.2947,1,1927,3.89
MCAT Study 119,8/2/2024,1,0,0,0,0,0,0,79,9,1.1591,88,1.47,0:01:26,86,102,2.4594,0,1681,3.93
MCAT Study 120,8/4/2024,0,0,66.67,1,2,0,1,119,88,1.1159,207,0.49,0:01:11,71,231,4.5883,1,4687,3.73
MCAT Study 121,8/4/2024,4,0,100,0,9,1,6,208,227,1.1149,435,0.94,0:01:03,63,485,8.6193,5,9177,4.04
MCAT Study 122,8/5/2024,3,0,100,0,3,0,3,134,327,1.0542,461,0.6,0:00:36,36,486,4.8716,3,12771,2.83
MCAT Study 123,8/5/2024,1,0,100,0,7,0,1,118,273,1.0537,391,0.56,0:00:52,52,412,5.9889,1,11944,2.33
MCAT Study 124,8/5/2024,0,0,100,0,1,0,0,41,2,1.093,43,1.12,0:01:11,71,47,0.9384,0,1751,1.77
MCAT Study 125,8/5/2024,1,0,100,0,5,0,3,207,216,1.1277,423,1.85,0:02:33,153,477,20.3215,3,7334,4.8
MCAT Study 126,8/6/2024,3,3,95.83,1,23,1,8,251,874,1.0809,1125,0.5,0:01:14,74,1216,25.2074,7,30991,2.94
MCAT Study 127,8/7/2024,2,1,91.43,3,32,0,20,336,1655,1.0854,1991,0.71,0:01:25,85,2161,51.2973,20,45359,3.36
MCAT Study 128,8/7/2024,2,0,100,0,10,1,6,225,545,1.0558,770,0.98,0:01:08,68,813,15.4508,5,19510,3.28
MCAT Study 129,8/8/2024,0,0,100,0,1,0,0,46,0,1.0652,46,1.74,0:02:53,173,49,2.3611,0,2325,1.51
MCAT Study 130,8/8/2024,2,1,100,0,4,0,2,190,175,1.1123,365,0.71,0:01:19,79,406,8.9722,2,5791,4.8
MCAT Study 131,8/10/2024,0,0,100,0,1,0,0,37,0,1.2432,37,7.67,0:11:49,709,46,9.0682,0,1367,1.9
MCAT Study 132,8/10/2024,0,0,0,0,0,0,0,34,2,1.1389,36,0.9,0:00:55,55,41,0.6284,0,1445,2.15
MCAT Study 133,8/10/2024,0,0,0,0,0,0,0,36,0,1.0833,36,0.64,0:00:35,35,39,0.3855,0,1454,2.06
MCAT Study 134,8/10/2024,0,0,100,0,1,0,0,26,0,1.0769,26,5.15,0:05:13,313,28,2.437,0,1468,1.36
MCAT Study 135,8/10/2024,0,0,0,0,0,0,0,42,0,1.0476,42,0.59,0:00:24,24,44,0.3052,0,1594,1.94
MCAT Study 136,8/10/2024,0,0,0,0,0,0,1,28,1,1.1034,29,2.36,0:02:13,133,32,1.1849,1,1757,1.14
MCAT Study 137,8/10/2024,1,0,0,0,0,0,0,49,3,1.25,52,0.62,0:01:39,99,65,1.7974,0,1994,2.51
MCAT Study 138,8/10/2024,3,0,50,1,1,0,0,125,27,1.1842,152,0.75,0:01:31,91,180,4.5761,0,2716,4.64
MCAT Study 139,8/12/2024,0,0,0,0,0,0,0,55,3,1.0862,58,0.42,0:00:46,46,63,0.8132,0,2043,1.91
MCAT Study 140,8/12/2024,2,0,100,0,15,0,7,311,278,1.1273,589,0.35,0:01:31,91,664,16.7939,7,11140,4.37
MCAT Study 141,8/14/2024,1,0,100,0,5,0,1,141,37,1.1517,178,1.31,0:01:28,88,205,5.0322,1,4063,3.35
MCAT Study 142,8/14/2024,1,0,0,0,0,0,0,97,5,1.1275,102,1.25,0:01:19,79,115,2.5326,0,2621,3.09
MCAT Study 143,8/14/2024,0,0,0,0,0,0,0,58,4,1.0968,62,0.93,0:00:35,35,68,0.6761,0,3085,1.65
MCAT Study 144,8/14/2024,0,0,0,0,0,1,0,65,2,1.1045,67,3.01,0:03:15,195,74,4.0168,-1,3330,1.44
MCAT Study 145,8/14/2024,0,1,100,0,3,0,0,181,13,1.1186,194,1.41,0:02:21,141,217,8.5275,0,3922,3.75
MCAT Study 146,8/15/2024,8,1,91.67,1,11,1,3,574,75,1.245,649,1.09,0:02:28,148,808,33.3252,2,5505,9.57
MCAT FL1 Score Reaction,6/3/2024,35,6,97.5,1,39,1,16,734,488,1.2684,1222,12.59,0:01:48,108,1550,46.6791,15,17647,6.34
MCAT FL2 Score Reaction,7/21/2024,16,2,95.45,1,21,2,4,635,406,1.2315,1041,12.05,0:01:25,85,1282,30.5079,2,11846,7.61
MCAT FL3 Score Reaction,8/12/2024,8,2,96.55,1,28,0,8,828,224,1.1778,1052,8.82882,0:01:26,86,1239,29.8503,8,11128,7.77
MCAT Exam Day Reaction,9/24/2024,1,0,75,1,3,0,0,302,92,1.1345,394,3.24,0:01:46,106,447,13.2715,0,4083,7.67
MCAT Score Reaction,9/24/2024,9,3,100,0,26,0,2,763,530,1.2011,1293,6.25,0:02:12,132,1553,57.007,2,9236,11.76
