Content,Date Published,Comments added,Shares,LvsD (%),Dislikes,Likes,Subs -,Subs +,Returning viewers,New viewers,Avg views/viewer,Unique viewers,APV (%),AVD (HMMSS),AVD (s),Views,WT (hrs),Subscribers,IMP,CTR (%)
MCAT Study 57,6/4/2024,5,0,100,0,2,0,0,70,10,1.4,80,1.7,1:28,88,99,2.4,0,905,5.9
MCAT Study 58,6/4/2024,8,0,100,0,15,0,4,149,108,1.2,257,2.6,2:54,174,268,13,4,3699,5.2
MCAT Study 59,6/5/2024,1,0,100,0,4,0,1,53,2,1.2,55,1.1,0:44,44,61,0.8,1,885,5.2
MCAT Study 60,6/5/2024,0,0,100,0,1,0,0,32,1,1.1,33,1.4,0:54,54,33,0.5,0,489,5.1
MCAT Study 61,6/5/2024,2,0,100,0,4,1,0,79,23,1.1,102,0.9,0:50,50,114,1.6,-1,2037,4.2
MCAT Study 62,6/6/2024,0,0,0,0,0,0,0,29,1,1.1,30,1.3,1:10,70,29,0.6,0,648,3.1
MCAT Study 63,6/6/2024,3,0,100,0,2,0,0,77,4,1.2,81,1.8,1:01,61,91,1.6,0,1223,5.5
MCAT Study 64,6/7/2024,8,0,90,1,9,1,4,158,47,1.2,205,1.8,1:53,113,197,6.2,3,2383,5.5
MCAT Study 65,6/8/2024,0,0,100,0,5,0,0,106,33,1.1,139,1.8,1:07,67,133,2.5,0,976,4.6
MCAT Study 66,6/8/2024,2,0,100,0,2,0,0,71,19,1.2,90,1.1,0:51,51,97,1.4,0,1568,4.5
MCAT Study 67,6/8/2024,6,0,87.5,1,7,1,2,162,78,1.2,240,3.1,1:58,118,246,8.1,1,2891,5.5
MCAT Study 68,6/10/2024,2,0,100,0,5,1,1,171,38,1.2,209,1.3,2:05,125,220,7.7,0,2579,6.4
MCAT Study 69,6/12/2024,2,0,100,0,11,0,2,182,163,1.1,345,1.2,1:39,99,328,9,2,4325,5.4
MCAT Study 70,6/15/2024,2,1,100,0,5,0,5,224,281,1.1,505,1.5,2:12,132,239,8.8,500,2135,7.9
MCAT Study 71,6/18/2024,5,0,100,0,5,0,1,145,24,1.2,169,2.4,2:12,132,168,6.2,1,1214,10.1
MCAT Study 72,6/21/2024,0,0,100,0,6,0,0,52,11,1.1,63,2.5,1:27,87,71,1.7,0,868,5.7
MCAT Study 73,6/21/2024,2,0,100,0,3,0,1,115,38,1.1,153,3.4,2:56,176,111,5.4,1,956,7.9
MCAT Study 74,6/22/2024,0,0,0,0,0,0,0,26,5,1.1,31,1.4,1:47,107,33,1,0,356,7.3
MCAT Study 75,6/22/2024,1,0,100,0,2,0,1,78,24,1.2,102,0.8,0:46,46,86,1.1,1,799,7.1
MCAT Study 76,6/22/2024,0,0,0,0,0,0,1,43,11,1.1,54,1.2,51,0,42,0.6,1,550,6.2
MCAT Study 77,6/22/2024,0,0,100,0,1,0,0,42,1,1.1,43,0.8,0:38,38,45,0.5,0,384,9.1
MCAT Study 78,6/23/2024,3,0,100,0,5,0,1,63,10,1.2,73,4.2,2:22,142,93,3.7,1,1056,6.1
MCAT Study 79,6/24/2024,0,0,100,0,2,0,0,61,14,1.2,75,3,3:05,185,92,4.7,0,766,7.4
MCAT Study 80,7/2/2024,0,0,100,0,2,0,0,68,31,1.1,99,1,0:45,45,104,1.3,0,1452,5.2
MCAT Study 81,7/3/2024,2,0,100,0,4,0,1,87,38,1.2,125,0.5,1:03,63,112,2,1,923,9.2
MCAT Study 82,7/4/2024,0,0,0,0,0,0,0,24,18,1.1,42,0.9,0:43,43,42,0.5,0,755,3.8
MCAT Study 83,7/4/2024,1,0,100,0,1,1,0,44,7,1,51,3.4,3:50,230,45,2.9,-1,940,3.5
MCAT Study 84,7/4/2024,0,0,100,0,1,0,0,54,0,1.1,54,1.6,0:51,51,51,0.7,0,610,5.9
MCAT Study 85,7/6/2024,0,0,100,0,1,0,0,19,7,1.2,26,1.5,1:43,103,29,0.8,0,81900,2.4
MCAT Study 86,7/6/2024,0,0,0,0,0,0,0,23,11,1,34,0.6,0:46,46,30,0.4,0,557,4
MCAT Study 87,7/6/2024,0,0,100,0,3,0,0,48,2,1.2,50,3.7,3:17,197,57,3.1,0,404,10.4
MCAT Study 88,7/7/2024,1,0,100,0,1,0,0,45,19,1.1,64,1.9,1:02,62,53,0.9,0,696,5
MCAT Study 89,7/7/2024,0,0,100,0,2,0,0,78,27,1.3,105,1.1,0:37,37,102,1.1,0,1190,5.8
MCAT Study 90,7/9/2024,0,0,0,0,0,0,0,24,22,1.2,46,1.5,0:56,56,55,0.9,0,1091,3.1
MCAT Study 91,7/9/2024,0,0,0,0,0,0,0,23,0,1.2,23,0.2,0:25,25,18,0.1,0,282,4.6
MCAT Study 92,7/9/2024,0,0,100,0,2,0,0,61,8,1.1,69,1.5,1:41,101,48,1.3,0,448,8
MCAT Study 93,7/11/2024,0,0,100,0,1,0,0,74,15,1.2,89,2.6,1:43,103,91,2.6,0,740,9.5
MCAT Study 94,7/14/2024,0,0,0,0,0,0,0,30,24,1,54,2.6,2:03,123,54,1.8,0,1541,2.6
MCAT Study 95,7/15/2024,0,0,0,0,0,0,0,9,5,1.1,14,71,11:58,718,15,3,0,356,2.5
MCAT Study 96,7/15/2024,0,0,100,0,3,0,1,36,50,1.1,86,1.9,2:43,163,44,2,1,797,3.5
MCAT Study 97,7/15/2024,1,0,0,0,0,0,2,51,65,1.1,116,1.3,0:59,59,87,1.4,2,1479,4.5
MCAT Study 98,7/16/2024,2,1,100,0,3,0,4,83,125,1.1,208,1.4,1:50,110,175,5.4,4,3286,3.6
MCAT Study 99,7/16/2024,0,0,100,10,1,1,3,43,23,1.2,66,1,0:54,54,69,1,2,752,7.3
MCAT Study 100,7/17/2024,2,0,75,1,3,0,0,50,88,1.1,138,1.5,1:21,81,83,1.9,0,1884,2.8
MCAT Study 101,7/17/2024,2,1,100,0,1,0,0,63,7,1.1,70,0.7,0:45,45,64,0.8,0,628,6.1
MCAT Study 102,7/18/2024,0,0,0,0,0,0,0,11,0,1.1,11,0.5,0:27,27,12,0.1,0,320,2.8
MCAT Study 103,7/18/2024,1,0,0,0,0,0,0,33,30,1,63,0.5,0:19,19,13,0.1,0,513,1.4
MCAT Study 104,7/18/2024,1,0,100,0,1,0,0,71,19,1.1,90,1.2,1:29,89,54,1.3,0,763,5.1
MCAT Study 105,7/18/2024,0,1,100,0,1,1,2,96,15,1.2,111,2.2,1:36,96,95,2.5,1,473,13.1
MCAT Study 106,7/24/2024,6,0,100,0,13,0,6,231,125,1.1,356,4,3:04,184,311,15.9,6,3991,5.6
MCAT Study 107,7/25/2024,1,0,100,0,1,0,1,69,37,1.1,106,0.4,0:51,51,96,1.4,1,1593,4.4
MCAT Study 108,7/25/2024,2,0,100,0,3,0,0,90,111,1.1,201,1.4,1:58,118,219,7.2,0,4124,4
MCAT Study 109,7/26/2024,0,0,100,0,2,0,0,74,42,1.1,116,2.8,2:08,128,125,4.5,0,2482,3.6
MCAT Study 110,7/27/2024,2,0,100,0,3,0,0,90,136,1.1,226,0.5,1:33,93,157,4.1,0,2586,4.7
MCAT Study 111,7/29/2024,0,1,0,0,0,0,1,41,16,1.1,57,0.7,1:01,61,51,0.9,1,1003,3.4
MCAT Study 112,7/29/2024,1,1,100,0,4,0,1,58,84,1.1,142,1.7,0:47,47,102,1.3,1,2028,3.6
MCAT Study 113,7/29/2024,2,0,100,0,6,0,2,132,131,1.1,263,0.6,1:20,80,223,5,2,3733,4.3
MCAT Study 114,7/30/2024,0,0,100,0,1,0,0,47,24,1.1,71,1.8,2:39,159,59,2.6,0,832,5.1
MCAT Study 115,7/31/2024,4,0,100,0,2,0,1,75,52,1.1,127,0.9,1:11,71,144,2.9,1,2524,4.4
MCAT Study 116,8/2/2024,0,0,100,0,1,0,0,43,29,1.2,72,0.7,0:43,43,41,0.5,0,359,7.5
MCAT Study 117,8/2/2024,1,1,100,0,1,0,0,72,27,1.2,99,3,0:44,44,74,0.9,0,509,9.4
MCAT Study 118,8/2/2024,3,0,100,0,3,0,1,73,1,1.2,74,1.7,1:09,69,71,1.4,1,600,8.3
MCAT Study 119,8/2/2024,1,0,0,0,0,0,0,66,9,1.1,75,1.6,1:21,81,60,1.4,0,346,10.4
MCAT Study 120,8/4/2024,0,0,100,0,1,0,1,96,72,1.1,168,0.5,0:49,49,100,1.4,1,1059,6.8
MCAT Study 121,8/4/2024,1,0,100,0,5,1,2,158,120,1.1,278,0.7,0:47,47,217,2.9,1,2811,5.9
MCAT Study 122,8/5/2024,0,0,0,0,0,0,1,44,55,1,99,0.6,0:41,41,45,0.5,1,653,4.6
MCAT Study 123,8/5/2024,0,0,100,0,1,0,1,28,19,1.1,47,0.3,0:34,34,38,0.4,1,764,4.1
MCAT Study 124,8/5/2024,0,0,0,0,0,0,0,29,1,1.1,30,0.9,0:58,58,26,0.4,0,378,3.7
MCAT Study 125,8/5/2024,1,0,100,0,3,0,2,149,122,1.1,271,1.5,2:07,127,200,7.1,2,2369,6
MCAT Study 126,8/6/2024,0,0,100,0,1,0,1,61,30,1.1,91,1,2:52,172,51,2.4,1,877,4.8
MCAT Study 127,8/7/2024,0,0,100,0,5,0,1,93,19,1.1,112,1,1:59,119,114,3.8,1,1922,4.7
MCAT Study 128,8/7/2024,1,0,0,0,0,1,0,74,52,1.1,126,0.6,0:43,43,109,1.3,-1,1379,5.5
MCAT Study 129,8/8/2024,0,0,100,0,1,0,0,30,0,1.1,30,1.9,3:40,220,27,1.7,0,822,2.3
MCAT Study 130,8/8/2024,1,0,100,0,1,0,0,115,36,1.1,151,0.9,1:48,108,90,2.7,0,584,11
MCAT Study 131,8/10/2024,0,0,0,0,0,0,0,17,0,1.1,17,1.8,2:48,168,19,0.9,0,304,4.9
MCAT Study 132,8/10/2024,0,0,0,0,0,0,0,25,1,1.1,26,0.7,0:39,39,27,0.3,0,354,6.2
MCAT Study 133,8/10/2024,0,0,0,0,0,0,0,27,0,1,27,0.6,0:33,33,25,0.2,0,351,5.7
MCAT Study 134,8/10/2024,0,0,0,0,0,0,0,18,0,1,18,6.1,6:12,372,18,1.9,0,309,4.2
MCAT Study 135,8/10/2024,0,0,0,0,0,0,0,28,0,1,28,0.8,0:33,33,24,0.2,0,371,5.1
MCAT Study 136,8/10/2024,0,0,0,0,0,0,0,1,13,1,1.1,0,4.6,0,13,1.1,1,354,2.5
MCAT Study 137,8/10/2024,1,0,0,0,0,0,0,34,0,1.2,34,0.9,2:24,144,41,1.6,0,540,6.1
MCAT Study 138,8/10/2024,2,0,100,0,1,0,0,86,12,1.1,98,0.9,1:57,117,100,3.3,0,696,10.5
MCAT Study 139,8/12/2024,0,0,0,0,0,0,0,39,2,1.1,41,0.4,0:42,42,44,0.5,0,741,3.9
MCAT Study 140,8/12/2024,0,0,100,0,6,0,5,196,79,1.1,275,0.3,1:31,91,230,5.9,5,2366,7.5
MCAT Study 141,8/14/2024,1,0,100,0,4,0,1,104,28,1.1,132,1.5,1:57,117,122,4,1,1519,5.5
MCAT Study 142,8/14/2024,1,0,0,0,0,0,0,62,3,1.1,65,1.7,2:08,128,58,2.1,0,681,5.9
MCAT Study 143,8/14/2024,0,0,0,0,0,0,0,39,2,1.1,41,1,0:39,39,42,0.5,0,710,4.7
MCAT Study 144,8/14/2024,0,0,0,0,0,1,0,38,2,1.1,40,0.6,0:38,38,40,0.4,-1,609,4.8
MCAT Study 145,8/14/2024,0,1,100,0,2,0,0,112,6,1.1,118,1.4,2:23,143,123,4.9,0,773,11
MCAT Study 146,8/15/2024,2,0,100,0,2,0,1,125,32,1.1,157,1,2:24,144,144,5.8,1,1602,6.6
MCAT FL1 Score Reaction,6/3/2024,23,4,95.8,1,23,1,7,308,249,1.2,557,13.3,1:59,119,605,20.1,6,6860,6.3
MCAT FL2 Score Reaction,7/21/2024,11,1,100,0,8,2,1,260,159,1.2,419,13.1,1:36,96,348,9.3,-1,2620,9.5
MCAT FL3 Score Reaction,8/12/2024,6,2,100,0,17,0,5,396,113,1.1,509,10.2,1:44,104,486,14,5,5292,6.3
MCAT Exam Day Reaction,9/24/2024,0,0,100,0,3,0,0,171,12,1.1,183,4.6,2:57,177,149,7.3,0,761,13.3
MCAT Score Reaction,9/24/2024,4,1,100,0,15,0,1,269,61,1.3,330,8.1,3:10,190,292,15.4,1,1449,13
