Content,Date Published,Comments added,Shares,LvsD (%),Dislikes,Likes,Subs -,Subs +,Returning viewers,New viewers,Avg views/viewer,Unique viewers,APV (%),AVD (HMMSS),AVD (s),Views,WT (hrs),Subscribers,IMP,CTR (%)
MCAT Study 139,8/12/2024,0,0,0,0,0,0,0,61,4,1.1538,65,0.39,0:00:43,43,75,0.8968,0,2603,1.81
MCAT Study 140,8/12/2024,2,0,100,0,15,0,7,344,282,1.1422,626,0.35,0:01:31,91,715,18.2719,7,12208,4.25
MCAT Study 141,8/14/2024,1,0,100,0,5,0,1,162,38,1.215,200,1.21,0:01:21,81,243,5.5224,1,4959,3.39
MCAT Study 142,8/14/2024,1,0,0,0,0,0,0,109,5,1.1667,114,1.16,0:01:14,74,133,2.7388,0,3475,2.71
MCAT Study 143,8/14/2024,0,0,0,0,0,0,0,66,4,1.1,70,0.95,0:00:36,36,77,0.7807,0,4035,1.46
MCAT Study 144,8/14/2024,0,0,0,0,0,1,0,73,2,1.1067,75,2.7,0:02:55,175,83,4.0414,-1,4625,1.1
MCAT Study 145,8/14/2024,0,1,100,0,3,0,0,216,16,1.0991,232,1.3,0:02:10,130,255,9.2472,0,5532,3.15
MCAT Study 146,8/15/2024,8,1,92.31,1,12,1,5,800,94,1.2405,894,1.05,0:02:23,143,1109,44.0745,4,7383,9.94
MCAT FL1 Score Reaction,6/3/2024,40,8,97.73,1,43,1,18,864,605,1.3213,1469,12.28,0:01:45,105,1941,57.0061,17,20074,6.95
MCAT FL2 Score Reaction,7/21/2024,16,2,95,1,21,2,6,829,413,1.2504,1242,11.61,0:01:22,82,1553,35.6105,4,13711,7.99
MCAT FL3 Score Reaction,8/12/2024,8,2,97,1,29,0,8,1040,239,1.1947,1279,8.47,0:01:23,83,1528,35.3425,8,12384,8.66
MCAT Exam Day Reaction,9/24/2024,1,0,75,1,3,0,0,317,93,1.1537,410,3.38,0:01:51,111,473,14.6543,0,4341,7.58
MCAT Score Reaction,9/24/2024,10,3,100,0,28,0,2,845,563,1.2266,1408,6.14,0:02:09,129,1727,62.2368,2,9907,12.11
