Content,Date Published,Comments added,Shares,LvsD (%),Dislikes,Likes,Subs -,Subs +,Returning viewers,New viewers,Avg views/viewer,Unique viewers,APV (%),AVD (HMMSS),AVD (s),Views,WT (hrs),Subscribers,IMP,CTR (%)
MCAT Study 15,5/23/2024,0,0,0,0,0,0,0,6,0,1,6,1.76,0:00:58,58,6,0.0978,0,417,1.44
MCAT Study 16,5/23/2024,0,0,0,0,0,0,0,14,3,1.0588,17,1.06,0:00:21,21,18,0.1058,0,428,3.04
MCAT Study 17,5/23/2024,0,0,0,0,0,0,1,14,35,1.102,49,3.99,0:02:19,139,54,2.0896,1,967,4.03
MCAT Study 18,5/23/2024,4,0,0,0,0,0,0,24,13,1.2432,37,0.95,0:00:34,34,46,0.4428,0,572,5.07
MCAT Study 19,5/24/2024,1,0,100,0,2,0,1,20,24,1.1364,44,1.43,0:01:24,84,50,1.1696,1,802,5.11
MCAT Study 20,5/24/2024,1,0,0,0,0,0,0,12,12,1.1667,24,4.88,0:03:53,233,28,1.8148,0,822,2.68
MCAT Study 21,5/25/2024,0,0,0,0,0,0,0,22,36,1.0172,58,3.01,0:01:40,100,59,1.6426,0,1384,2.6
MCAT Study 22,5/25/2024,1,1,100,0,1,0,3,27,161,1.0585,188,1.41,0:01:03,63,199,3.4983,3,3690,4.12
MCAT Study 23,5/25/2024,3,3,100,0,11,0,1,50,288,1.0888,338,0.88,0:00:48,48,368,4.9399,1,6813,3.92
MCAT Study 24,5/25/2024,1,3,100,0,5,0,1,41,237,1.1079,278,1.83,0:01:46,106,308,9.1289,1,6015,3.57
MCAT Study 25,5/25/2024,1,0,100,0,3,0,1,32,71,1.1165,103,1.96,0:02:29,149,115,4.7837,1,2132,3.61
MCAT Study 26,5/26/2024,2,1,100,0,10,0,4,66,132,1.101,198,1.83,0:01:47,107,218,6.5204,4,4508,3.7
MCAT Study 27,5/26/2024,2,0,100,0,1,0,0,48,92,1.0714,140,0.73,0:00:45,45,150,1.9039,0,3027,3.87
MCAT Study 28,5/26/2024,0,0,80,1,4,0,0,27,134,1.0435,161,1.13,0:00:45,45,168,2.1049,0,5362,2.56
MCAT Study 29,5/26/2024,5,0,100,0,3,1,5,38,153,1.0524,191,1.83,0:01:11,71,201,3.9644,4,5480,2.7
MCAT Study 30,5/26/2024,1,0,100,0,1,1,0,41,148,1.0476,189,1.66,0:01:03,63,198,3.4876,-1,5625,2.83
MCAT Study 31,5/26/2024,1,0,100,0,1,0,1,23,71,1.1064,94,1.88,0:01:02,62,104,1.804,1,2906,2.51
MCAT Study 32,5/27/2024,0,0,100,0,1,0,0,31,86,1.0598,117,2.04,0:01:23,83,124,2.8742,0,4183,2.37
MCAT Study 33,5/27/2024,3,1,100,0,6,1,2,52,129,1.0829,181,1.76,0:01:12,72,196,3.9461,1,3838,3.99
MCAT Study 34,5/27/2024,2,0,0,0,0,0,0,43,149,1.0781,192,1.79,0:01:10,70,207,4.0792,0,5507,2.63
MCAT Study 35,5/27/2024,1,0,100,0,7,0,1,63,320,1.0679,383,0.96,0:00:52,52,409,6.0115,1,10729,3
MCAT Study 36,5/29/2024,0,0,0,0,0,0,0,10,0,1.1,10,1.8,0:01:12,72,11,0.2208,0,706,1.27
MCAT Study 37,5/29/2024,0,0,100,0,1,0,1,0,0,0,0,1.16,0:00:43,43,17,0.2068,1,2457,0.53
MCAT Study 38,5/29/2024,1,0,100,0,2,0,0,16,2,1.1667,18,0.73,0:00:38,38,21,0.2227,0,727,2.06
MCAT Study 39,5/29/2024,1,0,0,0,0,0,0,21,2,1.2174,23,5.16,0:06:28,388,28,3.0246,0,733,2.05
MCAT Study 40,5/29/2024,0,0,0,0,0,0,0,16,2,1,18,4.24,0:01:59,119,18,0.5984,0,773,1.68
MCAT Study 41,5/29/2024,1,0,100,0,1,0,0,51,3,1.1852,54,4.22,0:01:56,116,64,2.0702,0,935,4.71
MCAT Study 42,5/30/2024,1,0,100,0,1,0,0,16,1,1,17,9.61,0:09:49,589,17,2.784,0,867,1.15
MCAT Study 43,5/30/2024,1,0,0,0,0,0,0,14,2,1,16,0.85,0:00:54,54,16,0.2411,0,876,1.14
MCAT Study 44,5/30/2024,0,0,100,0,1,0,0,19,2,1.0952,21,4.29,0:01:23,83,23,0.534,0,966,1.76
MCAT Study 45,5/30/2024,1,0,100,0,3,0,0,40,3,1.2093,43,3.28,0:02:19,139,52,2.0221,0,1065,3.57
MCAT Study 46,5/31/2024,0,0,100,0,2,0,0,24,4,1.0714,28,1.16,0:00:55,55,30,0.4655,0,1053,2.18
MCAT Study 47,5/31/2024,0,0,0,0,0,0,0,13,0,1.1538,13,0.5,0:00:18,18,15,0.0775,0,1034,1.16
MCAT Study 48,5/31/2024,2,0,100,0,1,0,0,32,2,1.2353,34,0.93,0:01:02,62,42,0.7238,0,1175,2.64
MCAT Study 49,5/31/2024,5,0,100,0,8,0,5,105,27,1.2576,132,1.86,0:02:05,125,166,5.7645,5,2097,5.44
MCAT Study 50,6/1/2024,2,0,100,0,1,0,0,65,2,1.1791,67,2.67,0:01:57,117,79,2.5767,0,1485,4.04
MCAT Study 51,6/1/2024,1,0,100,0,2,0,1,85,8,1.172,93,2.84,0:02:01,121,109,3.683,1,1742,4.88
MCAT Study 52,6/2/2024,2,1,100,0,13,1,3,107,379,1.1173,486,2.08,0:01:15,75,543,11.3786,2,12328,3.17
MCAT Study 53,6/2/2024,3,0,100,0,6,0,2,96,17,1.292,113,3.97,0:02:21,141,146,5.7336,2,2900,3.41
MCAT Study 54,6/2/2024,4,0,100,0,8,0,3,128,74,1.1485,202,6.12,0:01:45,105,232,6.8166,3,5859,2.75
MCAT Study 55,6/4/2024,15,0,92.86,2,26,0,10,248,94,1.348,342,1.42,0:02:13,133,461,17.0536,10,7562,4.22
MCAT Study 56,6/4/2024,5,0,100,0,7,0,1,143,43,1.1237,186,2.38,0:02:40,160,209,9.3098,1,4161,3.48
MCAT Study 57,6/4/2024,5,0,100,0,2,0,0,81,11,1.3152,92,1.57,0:01:17,77,121,2.5959,0,1933,3.52
MCAT Study 58,6/4/2024,8,0,100,0,23,0,5,206,210,1.1803,416,2.3,0:02:18,138,491,18.9231,5,9634,3.75
MCAT Study 59,6/5/2024,1,0,100,0,4,0,1,62,3,1.2,65,1.22,0:00:48,48,78,1.042,1,1874,2.77
MCAT Study 60,6/5/2024,0,0,100,0,1,0,0,44,3,1.0638,47,1.07,0:00:39,39,50,0.5496,0,1434,2.51
MCAT Study 61,6/5/2024,3,0,100,0,4,1,0,89,26,1.1565,115,0.84,0:00:48,48,133,1.7943,-1,3099,3.1
MCAT Study 62,6/6/2024,0,0,100,0,1,0,0,51,3,1.1667,54,2.58,0:02:41,161,63,2.8203,0,1525,2.69
MCAT Study 63,6/6/2024,3,0,100,0,2,0,0,106,8,1.1667,114,2.29,0:01:19,79,133,2.9194,0,2448,3.96
MCAT Study 64,6/7/2024,9,0,92.31,1,12,1,6,199,57,1.2813,256,1.78,0:01:46,106,328,9.7463,5,4182,5.31
MCAT Study 65,6/8/2024,0,0,100,0,5,0,0,151,61,1.0896,212,2.03,0:01:09,69,231,4.4276,0,3821,4.55
MCAT Study 66,6/8/2024,2,0,100,0,2,0,0,100,34,1.1642,134,0.91,0:00:42,42,156,1.8375,0,3152,3.81
MCAT Study 67,6/8/2024,6,0,92.86,1,13,1,3,235,137,1.2258,372,2.76,0:01:35,95,456,12.1407,2,7630,4.06
MCAT Study 68,6/10/2024,2,0,100,0,8,1,2,237,52,1.2145,289,1.14,0:01:45,105,351,10.3068,1,4527,5.74
MCAT Study 69,6/12/2024,5,1,100,0,16,0,2,281,284,1.1575,565,1.39,0:01:50,110,654,20.1303,2,9313,4.79
MCAT Study 70,6/15/2024,2,1,100,0,13,0,9,315,535,1.1259,850,1.41,0:01:29,89,957,23.7091,9,13318,5.15
MCAT Study 71,6/18/2024,4,0,100,0,5,0,0,84,2,1.2209,86,2.37,0:02:00,120,105,3.5102,0,503,14.31
MCAT Study 72,6/21/2024,2,1,100,0,7,0,2,136,102,1.063,238,2.69,0:01:49,109,253,7.6812,2,4080,4.46
MCAT Study 73,6/21/2024,2,1,100,0,7,0,2,136,102,1.063,238,2.69,0:01:49,109,253,7.6812,2,4080,4.46
MCAT Study 74,6/22/2024,0,0,100,0,3,0,1,49,32,1.0247,81,1.37,0:01:48,108,83,2.5118,1,1463,3.96
MCAT Study 75,6/22/2024,1,0,100,0,2,0,1,102,24,1.1825,126,1.24,0:01:14,74,149,3.0652,1,1647,6.01
MCAT Study 76,6/22/2024,0,0,0,0,0,0,2,62,34,1.1458,96,1.46,0:01:04,64,110,1.9765,2,1828,4.7
MCAT Study 77,6/22/2024,0,0,100,0,1,0,0,55,2,1.1404,57,1.03,0:00:50,50,65,0.9153,0,880,5.34
MCAT Study 78,6/23/2024,3,0,100,0,5,0,1,86,27,1.177,113,3.04,0:01:50,110,133,4.0749,1,2295,4.14
MCAT Study 79,6/24/2024,1,2,100,0,3,0,1,154,48,1.1931,202,1.89,0:01:58,118,241,7.9049,1,2290,6.64
MCAT Study 80,7/2/2024,0,0,100,0,2,0,0,79,31,1.1273,110,0.89,0:00:42,42,124,1.4496,0,1989,4.63
MCAT Study 81,7/3/2024,2,0,100,0,6,0,2,109,71,1.1389,180,0.84,0:01:33,93,205,5.3415,2,3212,4.79
MCAT Study 82,7/4/2024,0,0,0,0,0,0,0,33,25,1.1034,58,0.92,0:00:44,44,64,0.7834,0,1565,2.88
MCAT Study 83,7/4/2024,3,0,100,0,2,1,0,57,33,1.1222,90,9.95,0:09:58,598,101,16.7966,-1,2294,2.92
MCAT Study 84,7/4/2024,0,1,100,0,1,0,0,72,2,1.1757,74,3.55,0:02:19,139,87,3.3775,0,982,6.21
MCAT Study 85,7/6/2024,0,0,100,0,2,0,0,30,20,1.16,50,1.02,0:01:07,67,58,1.0874,0,1703,2.58
MCAT Study 86,7/6/2024,0,0,100,0,3,0,1,39,24,1.127,63,0.77,0:00:52,52,71,1.0403,1,1647,3.04
MCAT Study 87,7/6/2024,0,0,100,0,3,0,0,70,2,1.1389,72,4.15,0:03:39,219,82,4.9897,0,807,7.19
MCAT Study 88,7/7/2024,1,0,100,0,2,0,0,60,47,1.1121,107,1.74,0:00:50,50,119,1.6662,0,2247,3.52
MCAT Study 89,7/7/2024,0,0,100,0,2,0,0,101,28,1.2481,129,0.97,0:01:14,74,161,3.3148,0,1948,5.95
MCAT Study 90,7/9/2024,0,0,100,0,1,0,0,35,29,1.1875,64,1.4,0:00:53,53,76,1.1279,0,2009,2.19
MCAT Study 91,7/9/2024,0,0,0,0,0,0,0,39,8,1.0851,47,0.93,0:01:54,114,51,1.6217,0,1179,2.97
MCAT Study 92,7/9/2024,0,0,100,0,3,0,0,94,20,1.1842,114,1.36,0:01:52,112,135,4.2346,0,1543,6.29
MCAT Study 93,7/11/2024,2,0,100,0,3,0,2,125,42,1.1856,167,1.76,0:01:31,91,198,5.0571,2,2280,6.27
MCAT Study 94,7/14/2024,0,0,0,0,0,0,0,59,76,1.0593,135,2.46,0:01:52,112,143,4.4503,0,3873,2.63
MCAT Study 95,7/15/2024,0,0,0,0,0,0,0,28,21,1.0612,49,2.28,0:03:51,231,52,3.3457,0,1857,1.99
MCAT Study 96,7/15/2024,1,0,100,0,9,0,2,73,228,1.103,301,1.73,0:01:32,92,332,8.5534,2,7446,3.12
MCAT Study 97,7/15/2024,1,0,0,0,0,0,3,73,126,1.0905,199,1.21,0:00:53,53,217,3.2549,3,5467,2.94
MCAT Study 98,7/16/2024,3,1,83.33,1,5,0,4,99,195,1.1361,294,1.2,0:02:00,120,334,11.1632,4,6377,3.51
MCAT Study 99,7/16/2024,0,0,100,0,1,1,3,70,28,1.1531,98,1.94,0:01:43,103,113,3.2411,2,1795,4.68
MCAT Study 100,7/17/2024,2,0,80,1,4,0,0,76,127,1.1133,203,3.49,0:03:03,183,226,11.5403,0,5497,2.8
MCAT Study 101,7/17/2024,2,1,100,0,1,0,0,73,13,1.1977,86,2.02,0:02:22,142,103,4.0867,0,1711,3.8
MCAT Study 102,7/18/2024,0,0,0,0,0,0,0,28,1,1.1724,29,3.42,0:03:04,184,34,1.7461,0,920,2.83
MCAT Study 103,7/18/2024,1,0,100,0,5,0,1,61,82,1.0979,143,1.17,0:01:29,89,157,3.8931,1,4064,2.9
MCAT Study 104,7/18/2024,1,0,100,0,1,0,0,107,31,1.1522,138,1.93,0:02:18,138,159,6.1211,0,3223,3.63
MCAT Study 105,7/18/2024,2,1,100,0,3,1,4,224,126,1.2029,350,2.01,0:01:36,96,421,11.276,3,4603,6.47
MCAT Study 106,7/24/2024,10,0,100,0,20,0,8,321,201,1.1341,522,3.82,0:02:41,161,592,26.5632,8,9086,4.63
MCAT Study 107,7/25/2024,1,0,100,0,4,0,1,105,124,1.0742,229,0.33,0:00:48,48,246,3.3102,1,4829,3.62
MCAT Study 108,7/25/2024,2,0,100,0,4,0,0,109,129,1.1429,238,1.31,0:01:47,107,272,8.1255,0,5577,3.59
MCAT Study 109,7/26/2024,0,0,100,0,4,0,0,95,69,1.1463,164,2.9,0:02:10,130,188,6.8226,0,4464,3.09
MCAT Study 110,7/27/2024,2,1,80,1,4,0,0,115,179,1.1803,294,0.6,0:02:18,138,347,13.3667,0,6909,3.55
MCAT Study 111,7/29/2024,0,1,0,0,0,0,1,49,17,1.1364,66,0.67,0:00:53,53,75,1.1115,1,1899,2.53
MCAT Study 112,7/29/2024,1,1,100,0,5,0,1,84,133,1.0553,217,2.34,0:01:11,71,229,4.5203,1,5534,3.05
MCAT Study 113,7/29/2024,2,0,100,0,7,0,2,159,157,1.1044,316,0.5,0:01:09,69,349,6.7188,2,6515,3.93
MCAT Study 114,7/30/2024,2,3,100,0,6,0,2,168,368,1.0802,536,1.02,0:01:15,75,579,12.1123,2,11255,3.78
MCAT Study 115,7/31/2024,7,0,100,0,5,0,5,174,275,1.1024,449,0.91,0:01:15,75,495,10.3777,5,10363,3.42
MCAT Study 116,8/2/2024,0,0,100,0,1,0,0,58,60,1.1949,118,0.58,0:01:15,75,141,2.9497,0,3310,2.84
MCAT Study 117,8/2/2024,1,1,100,0,2,0,0,103,33,1.1397,136,2.64,0:00:47,47,155,2.0449,0,2303,4.52
MCAT Study 118,8/2/2024,3,0,100,0,4,0,1,83,1,1.2143,84,1.64,0:00:59,59,102,1.6719,1,1418,5.15
MCAT Study 119,8/2/2024,1,0,0,0,0,0,0,78,9,1.1494,87,1.47,0:01:26,86,100,2.413,0,1153,5.55
MCAT Study 120,8/4/2024,0,0,66.67,1,2,0,1,118,88,1.1165,206,0.49,0:01:11,71,230,4.5854,1,4235,4.11
MCAT Study 121,8/4/2024,4,0,100,0,8,1,6,198,227,1.1153,425,0.95,0:01:04,64,474,8.4854,5,8528,4.24
MCAT Study 122,8/5/2024,2,0,100,0,1,0,1,77,183,1.0577,260,0.52,0:00:31,31,275,2.3923,1,6931,2.86
MCAT Study 123,8/5/2024,0,0,100,0,4,0,1,74,92,1.0482,166,0.7,0:01:05,65,174,3.1674,1,5314,2.3
MCAT Study 124,8/5/2024,0,0,0,0,0,0,0,37,2,1.1026,39,0.87,0:00:55,55,43,0.6671,0,1241,2.26
MCAT Study 125,8/5/2024,1,0,100,0,5,0,3,197,214,1.1265,411,1.89,0:02:36,156,463,20.0769,3,6733,5.05
MCAT Study 126,8/6/2024,3,1,100,0,9,0,5,165,441,1.0759,606,0.6,0:01:29,89,652,16.1533,5,15406,3.15
MCAT Study 127,8/7/2024,0,0,88,3,22,0,13,231,1000,1.0804,1231,0.64,0:01:16,76,1330,28.4075,13,27574,3.44
MCAT Study 128,8/7/2024,2,0,100,0,2,1,1,139,233,1.0565,372,0.98,0:01:08,68,393,7.4581,0,8812,3.42
MCAT Study 129,8/8/2024,0,0,100,0,1,0,0,42,0,1.0714,42,1.84,0:03:03,183,45,2.2985,0,1909,1.68
MCAT Study 130,8/8/2024,1,0,100,0,4,0,1,171,168,1.1062,339,0.71,0:01:19,79,375,8.3098,1,5091,4.95
MCAT Study 131,8/10/2024,0,0,100,0,1,0,0,30,0,1.1,30,1.17,0:01:48,108,33,0.9915,0,960,2.29
MCAT Study 132,8/10/2024,0,0,0,0,0,0,0,33,1,1.1471,34,0.94,0:00:57,57,39,0.6244,0,1019,2.94
MCAT Study 133,8/10/2024,0,0,0,0,0,0,0,35,0,1.0571,35,0.67,0:00:37,37,37,0.3851,0,1038,2.79
MCAT Study 134,8/10/2024,0,0,100,0,1,0,0,25,0,1.04,25,5.53,0:05:36,336,26,2.4314,0,1045,1.72
MCAT Study 135,8/10/2024,0,0,0,0,0,0,0,41,0,1.0488,41,0.6,0:00:25,25,43,0.3022,0,1169,2.65
MCAT Study 136,8/10/2024,0,0,0,0,0,0,1,26,1,1.1111,27,2.5,0:02:21,141,30,1.1803,1,1255,1.59
MCAT Study 137,8/10/2024,1,0,0,0,0,0,0,48,2,1.24,50,0.64,0:01:42,102,62,1.7675,0,1472,3.26
MCAT Study 138,8/10/2024,3,0,50,1,1,0,0,125,26,1.1722,151,0.76,0:01:32,92,177,4.568,0,2167,5.81
MCAT Study 139,8/12/2024,0,0,0,0,0,0,0,51,3,1.0741,54,0.36,0:00:38,38,58,0.6269,0,1498,2.4
MCAT Study 140,8/12/2024,2,0,100,0,14,0,7,274,271,1.1083,545,0.29,0:01:13,73,604,12.4104,7,9942,4.47
MCAT Study 141,8/14/2024,1,0,100,0,5,0,1,124,35,1.1635,159,1.41,0:01:35,95,185,4.9189,1,3133,3.93
MCAT Study 142,8/14/2024,1,0,0,0,0,0,0,85,4,1.1461,89,1.35,0:01:25,85,102,2.4347,0,1760,4.03
MCAT Study 143,8/14/2024,0,0,0,0,0,0,0,49,2,1.1176,51,0.95,0:00:36,36,57,0.5813,0,1921,2.13
MCAT Study 144,8/14/2024,0,0,0,0,0,1,0,53,2,1.0909,55,3.67,0:03:58,238,60,3.9719,-1,1985,1.96
MCAT Study 145,8/14/2024,0,1,100,0,3,0,0,153,11,1.128,164,1.45,0:02:24,144,185,7.4452,0,2409,5.35
MCAT Study 146,8/15/2024,4,1,100,0,8,0,2,353,58,1.1825,411,1.27,0:02:52,172,486,23.2837,2,3837,8.5
MCAT FL1 Score Reaction,6/3/2024,29,5,96.88,1,31,1,13,564,393,1.2529,957,13.17,0:01:53,113,1199,37.7665,12,14716,5.94
MCAT FL2 Score Reaction,7/21/2024,16,1,95.24,1,20,2,2,539,395,1.1981,934,11.95,0:01:24,84,1119,26.409,0,11150,6.95
MCAT FL3 Score Reaction,8/12/2024,8,2,96,1,24,0,7,667,208,1.1406,875,9.13,0:01:29,89,998,24.8691,7,10006,6.93
MCAT Exam Day Reaction,9/24/2024,1,0,75,1,3,0,0,292,90,1.1361,382,3.3,0:01:48,108,434,13.1298,0,3870,7.8
MCAT Score Reaction,9/24/2024,9,3,100,0,24,0,2,680,490,1.1863,1170,6.27,0:02:12,132,1388,51.115,2,8537,11.23
